comuna,ano,matriculas,tipo
SAN JOSÉ DE MAIPO,2020,2750,escolar
SAN MIGUEL,2020,25870,escolar
SAN PEDRO,2020,1568,escolar
SAN RAMÓN,2020,14881,escolar
SANTIAGO,2020,83210,escolar
TALAGANTE,2020,22218,escolar
TILTIL,2020,3827,escolar
VITACURA,2020,18136,escolar
ÑUÑOA,2020,38672,escolar
ALHUÉ,2022,1450,escolar
BUIN,2022,23541,escolar
CALERA DE TANGO,2022,5524,escolar
CERRILLOS,2022,12957,escolar
CERRO NAVIA,2022,17235,escolar
COLINA,2022,43307,escolar
CONCHALÍ,2022,21843,escolar
CURACAVÍ,2022,7403,escolar
EL BOSQUE,2022,36670,escolar
EL MONTE,2022,6577,escolar
ESTACIÓN CENTRAL,2022,26550,escolar
HUECHURABA,2022,15073,escolar
INDEPENDENCIA,2022,19695,escolar
ISLA DE MAIPO,2022,7162,escolar
LA CISTERNA,2022,28306,escolar
LA FLORIDA,2022,74421,escolar
LA GRANJA,2022,20534,escolar
LA PINTANA,2022,35455,escolar
LA REINA,2022,22499,escolar
LAMPA,2022,23836,escolar
LAS CONDES,2022,41896,escolar
LO BARNECHEA,2022,22297,escolar
LO ESPEJO,2022,11936,escolar
LO PRADO,2022,12762,escolar
MACUL,2022,16403,escolar
MAIPÚ,2022,95413,escolar
MARÍA PINTO,2022,2261,escolar
MELIPILLA,2022,29178,escolar
PADRE HURTADO,2022,16107,escolar
PAINE,2022,16594,escolar
PEDRO AGUIRRE CERDA,2022,16558,escolar
PEÑAFLOR,2022,18033,escolar
PEÑALOLÉN,2022,38480,escolar
PIRQUE,2022,4109,escolar
PROVIDENCIA,2022,31066,escolar
PUDAHUEL,2022,33490,escolar
PUENTE ALTO,2022,105752,escolar
QUILICURA,2022,43751,escolar
QUINTA NORMAL,2022,28290,escolar
RECOLETA,2022,34289,escolar
RENCA,2022,25984,escolar
SAN BERNARDO,2022,60920,escolar
SAN JOAQUÍN,2022,12126,escolar
SAN JOSÉ DE MAIPO,2022,2718,escolar
SAN MIGUEL,2022,26036,escolar
SAN PEDRO,2022,1872,escolar
SAN RAMÓN,2022,14993,escolar
SANTIAGO,2022,82183,escolar
TALAGANTE,2022,22591,escolar
TILTIL,2022,3983,escolar
VITACURA,2022,19155,escolar
ÑUÑOA,2022,38177,escolar
ALHUÉ,2023,1505,escolar
BUIN,2023,23861,escolar
CALERA DE TANGO,2023,5514,escolar
CERRILLOS,2023,13244,escolar
CERRO NAVIA,2023,17336,escolar
COLINA,2023,42774,escolar
CONCHALÍ,2023,21439,escolar
CURACAVÍ,2023,7423,escolar
EL BOSQUE,2023,36264,escolar
EL MONTE,2023,6385,escolar
ESTACIÓN CENTRAL,2023,26531,escolar
HUECHURABA,2023,15010,escolar
INDEPENDENCIA,2023,19732,escolar
ISLA DE MAIPO,2023,7225,escolar
LA CISTERNA,2023,27368,escolar
LA FLORIDA,2023,71405,escolar
LA GRANJA,2023,20260,escolar
LA PINTANA,2023,34721,escolar
LA REINA,2023,22158,escolar
LAMPA,2023,25012,escolar
LAS CONDES,2023,42127,escolar
LO BARNECHEA,2023,21992,escolar
LO ESPEJO,2023,11714,escolar
LO PRADO,2023,12803,escolar
MACUL,2023,15964,escolar
MAIPÚ,2023,94242,escolar
MARÍA PINTO,2023,2385,escolar
MELIPILLA,2023,29167,escolar
PADRE HURTADO,2023,16114,escolar
PAINE,2023,17455,escolar
PEDRO AGUIRRE CERDA,2023,16390,escolar
PEÑAFLOR,2023,17905,escolar
PEÑALOLÉN,2023,37886,escolar
PIRQUE,2023,4257,escolar
PROVIDENCIA,2023,30431,escolar
PUDAHUEL,2023,32898,escolar
PUENTE ALTO,2023,105551,escolar
QUILICURA,2023,43791,escolar
QUINTA NORMAL,2023,28160,escolar
RECOLETA,2023,33799,escolar
RENCA,2023,25643,escolar
SAN BERNARDO,2023,60355,escolar
SAN JOAQUÍN,2023,11920,escolar
SAN JOSÉ DE MAIPO,2023,2664,escolar
SAN MIGUEL,2023,26212,escolar
SAN PEDRO,2023,1849,escolar
SAN RAMÓN,2023,14948,escolar
SANTIAGO,2023,80185,escolar
TALAGANTE,2023,22689,escolar
TILTIL,2023,4164,escolar
VITACURA,2023,18647,escolar
ÑUÑOA,2023,37723,escolar
ALHUÉ,2024,1545,escolar
BUIN,2024,23793,escolar
CALERA DE TANGO,2024,5478,escolar
CERRILLOS,2024,13238,escolar
CERRO NAVIA,2024,17050,escolar
COLINA,2024,42358,escolar
CONCHALÍ,2024,20919,escolar
CURACAVÍ,2024,7435,escolar
EL BOSQUE,2024,35491,escolar
EL MONTE,2024,6114,escolar
ESTACIÓN CENTRAL,2024,26072,escolar
HUECHURABA,2024,14973,escolar
INDEPENDENCIA,2024,19448,escolar
ISLA DE MAIPO,2024,7268,escolar
LA CISTERNA,2024,27020,escolar
LA FLORIDA,2024,69915,escolar
LA GRANJA,2024,19620,escolar
LA PINTANA,2024,33719,escolar
LA REINA,2024,22592,escolar
LAMPA,2024,25221,escolar
LAS CONDES,2024,41897,escolar
LO BARNECHEA,2024,21649,escolar
LO ESPEJO,2024,11556,escolar
LO PRADO,2024,12365,escolar
MACUL,2024,15708,escolar
MAIPÚ,2024,92065,escolar
MARÍA PINTO,2024,2363,escolar
MELIPILLA,2024,29306,escolar
PADRE HURTADO,2024,16205,escolar
PAINE,2024,17671,escolar
PEDRO AGUIRRE CERDA,2024,15791,escolar
PEÑAFLOR,2024,17709,escolar
PEÑALOLÉN,2024,37450,escolar
PIRQUE,2024,4345,escolar
PROVIDENCIA,2024,29922,escolar
PUDAHUEL,2024,32429,escolar
PUENTE ALTO,2024,103648,escolar
QUILICURA,2024,43165,escolar
QUINTA NORMAL,2024,27358,escolar
RECOLETA,2024,33070,escolar
RENCA,2024,25215,escolar
