comuna,ano,matriculas,tipo
PUENTE ALTO,2024,19409,parvulario
QUILICURA,2024,8256,parvulario
QUINTA NORMAL,2024,5640,parvulario
RECOLETA,2024,6428,parvulario
RENCA,2024,6574,parvulario
SAN BERNARDO,2024,11686,parvulario
SAN JOAQUÍN,2024,3321,parvulario
SAN JOSÉ DE MAIPO,2024,661,parvulario
SAN MIGUEL,2024,3987,parvulario
SAN PEDRO,2024,456,parvulario
SAN RAMÓN,2024,3141,parvulario
SANTIAGO,2024,9051,parvulario
TALAGANTE,2024,3548,parvulario
TILTIL,2024,970,parvulario
VITACURA,2024,2188,parvulario
ÑUÑOA,2024,5259,parvulario
ALHUÉ,2019,324,parvulario
BUIN,2019,4639,parvulario
CALERA DE TANGO,2019,1252,parvulario
CERRILLOS,2019,3545,parvulario
CERRO NAVIA,2019,5712,parvulario
COLINA,2019,9522,parvulario
CONCHALÍ,2019,6378,parvulario
CURACAVÍ,2019,1631,parvulario
EL BOSQUE,2019,9864,parvulario
EL MONTE,2019,1999,parvulario
ESTACIÓN CENTRAL,2019,6709,parvulario
HUECHURABA,2019,4409,parvulario
INDEPENDENCIA,2019,3450,parvulario
ISLA DE MAIPO,2019,1803,parvulario
LA CISTERNA,2019,3967,parvulario
LA FLORIDA,2019,15729,parvulario
LA GRANJA,2019,6744,parvulario
LA PINTANA,2019,10062,parvulario
LA REINA,2019,4456,parvulario
LAMPA,2019,5265,parvulario
LAS CONDES,2019,6356,parvulario
LO BARNECHEA,2019,4472,parvulario
LO ESPEJO,2019,3795,parvulario
LO PRADO,2019,3842,parvulario
MACUL,2019,4600,parvulario
MAIPÚ,2019,18715,parvulario
MARÍA PINTO,2019,618,parvulario
MELIPILLA,2019,5967,parvulario
PADRE HURTADO,2019,3333,parvulario
PAINE,2019,3640,parvulario
PEDRO AGUIRRE CERDA,2019,5656,parvulario
PEÑAFLOR,2019,4235,parvulario
PEÑALOLÉN,2019,10482,parvulario
PIRQUE,2019,1202,parvulario
PROVIDENCIA,2019,3461,parvulario
PUDAHUEL,2019,9261,parvulario
PUENTE ALTO,2019,24019,parvulario
QUILICURA,2019,9335,parvulario
QUINTA NORMAL,2019,6517,parvulario
RECOLETA,2019,7306,parvulario
RENCA,2019,7913,parvulario
SAN BERNARDO,2019,13922,parvulario
SAN JOAQUÍN,2019,3757,parvulario
